2016-10-14 18:15:12, 329
2016-10-14 18:16:13, 362
2016-10-14 18:17:14, 310
2016-10-14 18:18:15, 322
2016-10-14 18:19:16, 299
2016-10-14 18:20:17, 274
2016-10-14 18:21:18, 328
2016-10-14 18:22:19, 316
2016-10-14 18:23:20, 321
2016-10-14 18:24:21, 320
2016-10-14 18:25:22, 295
2016-10-14 18:26:23, 301
2016-10-14 18:27:24, 268
2016-10-14 18:28:25, 298
2016-10-14 18:29:26, 329
2016-10-14 18:30:27, 292
2016-10-14 18:31:28, 340
2016-10-14 18:32:29, 281
2016-10-14 18:33:30, 266
2016-10-14 18:34:31, 276
2016-10-14 18:35:32, 290
2016-10-14 18:36:33, 265
2016-10-14 18:37:34, 286
2016-10-14 18:38:35, 333
2016-10-14 18:39:36, 348
2016-10-14 18:40:37, 350
2016-10-14 18:41:38, 290
2016-10-14 18:42:39, 322
2016-10-14 18:43:40, 325
2016-10-14 18:44:41, 295
2016-10-14 18:45:42, 302
2016-10-14 18:46:43, 315
2016-10-14 18:47:44, 332
2016-10-14 18:48:45, 329
2016-10-14 18:49:46, 281
2016-10-14 18:50:47, 291
2016-10-14 18:51:48, 325
2016-10-14 18:52:49, 421
2016-10-14 18:53:50, 321
2016-10-14 18:54:51, 334
2016-10-14 18:55:52, 333
2016-10-14 18:56:53, 329
2016-10-14 18:57:54, 300
2016-10-14 18:58:55, 283
2016-10-14 18:59:56, 345
2016-10-14 19:00:57, 318
2016-10-14 19:01:58, 311
2016-10-14 19:02:59, 314
2016-10-14 19:04:00, 334
2016-10-14 19:05:01, 362
2016-10-14 19:06:02, 396
2016-10-14 19:07:03, 402
2016-10-14 19:08:04, 369
2016-10-14 19:09:05, 349
2016-10-14 19:10:06, 422
2016-10-14 19:11:07, 365
2016-10-14 19:12:08, 380
2016-10-14 19:13:09, 346
2016-10-14 19:14:10, 389
2016-10-14 19:15:11, 353
2016-10-14 19:16:12, 378
2016-10-14 19:17:13, 328
2016-10-14 19:18:14, 361
2016-10-14 19:19:15, 353
2016-10-14 19:20:16, 120
